title,author,length
He Who Fights with Monsters 11: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 36 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 11 hrs
Throne World,B.V. Larson,Length: 12 hrs and 29 mins
Magic Gifts (Dramatized Adaptation),Ilona Andrews,Length: 3 hrs and 37 mins
Dungeon Diving 201,Bruce Sentar,Length: 11 hrs and 41 mins
Hell Difficulty Tutorial,Cerim,Length: 18 hrs and 34 mins
Cold Fury,Toni Anderson,Length: 11 hrs and 34 mins
World Seal,David North,Length: 14 hrs and 31 mins
Her Dying Secret,Lisa Regan,Length: 10 hrs and 40 mins
Beware of Chicken 4: A Xianxia Cultivation Novel,Casualfarmer,Length: 30 hrs and 8 mins
Frigid Magic,Bruce Sentar,Length: 16 hrs and 30 mins
A Queen This Fierce and Deadly,Stacia Stark,Length: 17 hrs and 19 mins
Think Twice,Harlan Coben,Length: 9 hrs and 41 mins
Swamp Spies,Jana DeLeon,Length: 9 hrs and 44 mins
The One I Left Behind,Piper Rayne,Length: 6 hrs and 33 mins
Fragile Sanctuary,Catherine Cowles,Length: 11 hrs and 32 mins
"Succubus Summoner, Part 3","Virgil Knightley,Annabelle Hawthorne",Length: 8 hrs and 19 mins
A Leaner Meaner Midlife,Robyn Peterman,Length: 4 hrs and 26 mins
House of Sky and Breath (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 11 hrs
The Power of Action: Do It Now,Daniel Walter,Length: 9 hrs and 29 mins
Recon,Craig Alanson,Length: 17 hrs and 53 mins
Locked in Pursuit,Ashley Weaver,Length: 8 hrs and 15 mins
Will Leave the Galaxy for Good,Yahtzee Croshaw,Length: 9 hrs and 50 mins
The Shattered Path,Edward W. Robertson,Length: 19 hrs and 19 mins
No Retreat,"J.N. Chaney,Terry Mixon",Length: 9 hrs and 2 mins
The Wanted,"Jason Anspach,Nick Cole",Length: 13 hrs and 1 min
Hans,S.J. Tilly,Length: 11 hrs and 33 mins
To Be Loved,Frank G. Anderson MD,Length: 8 hrs
Death at the Drive-In,Angie Fox,Length: 8 hrs and 34 mins
The Wolf and the Witch,Charissa Weaks,Length: 9 hrs and 32 mins
Surviving the Survivor,Joel Z. Waldman,Length: 8 hrs and 15 mins
Onyx Storm,Rebecca Yarros,Length: 14 hrs and 15 mins
The Mime Order,Samantha Shannon,Length: 18 hrs and 42 mins
Hello Tease,Kelsie Hoss,Length: 7 hrs and 38 mins
The Path of Ascension 6,C. Mantis,Length: 23 hrs and 25 mins
The Occasional Human Sacrifice,Carl Elliott,Length: 11 hrs and 3 mins
Ambassador for Mars,Glynn Stewart,Length: 10 hrs and 33 mins
"You, Me, Her",Sue Watson,Length: 8 hrs and 57 mins
Tress of the Emerald Sea,Brandon Sanderson,Length: 12 hrs and 27 mins
Wayward Earth,"Jason Anspach,J.N. Chaney",Length: 14 hrs and 1 min
The Client List,Robin James,Length: 8 hrs and 51 mins
Heavy Is the Crown,"J.N. Chaney,Terry Maggert",Length: 10 hrs and 5 mins
Unravel Me,Becka Mack,Length: 18 hrs and 8 mins
Well and Truly Pucked,Lauren Blakely,Length: 8 hrs and 47 mins
Addicted to the Pain,Rosa Lee,Length: 9 hrs and 51 mins
