title,author,length
1. Bits and Pieces,By: Whoopi Goldberg,Length: 6 hrs and 43 mins
2. Fourth Wing,By: Rebecca Yarros,Length: 21 hrs and 22 mins
3. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
4. Between Sisters,By: Kristin Hannah,Length: 11 hrs and 40 mins
5. Tress of the Emerald Sea,By: Brandon Sanderson,Length: 12 hrs and 27 mins
6. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
7. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
8. Foundations,By: Cale Plamann,Length: 13 hrs and 26 mins
9. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
10. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
11. The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
12. Say More,By: Jen Psaki,Length: 5 hrs and 56 mins
13. Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
14. Power Moves,By: Sarah Jakes Roberts,Length: 7 hrs and 30 mins
15. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
16. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
17. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 55 mins
18. Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
19. She's Not Sorry,By: Mary Kubica,Length: 10 hrs and 32 mins
20. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
1. Bits and Pieces,By: Whoopi Goldberg,Length: 6 hrs and 43 mins
2. Fourth Wing,By: Rebecca Yarros,Length: 21 hrs and 22 mins
3. Iron Flame,By: Rebecca Yarros,Length: 28 hrs and 16 mins
4. Between Sisters,By: Kristin Hannah,Length: 11 hrs and 40 mins
5. Tress of the Emerald Sea,By: Brandon Sanderson,Length: 12 hrs and 27 mins
6. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
7. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
8. Foundations,By: Cale Plamann,Length: 13 hrs and 26 mins
9. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
10. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
11. The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
12. Say More,By: Jen Psaki,Length: 5 hrs and 56 mins
13. Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
14. Power Moves,By: Sarah Jakes Roberts,Length: 7 hrs and 30 mins
15. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
16. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
17. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 55 mins
18. Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
19. She's Not Sorry,By: Mary Kubica,Length: 10 hrs and 32 mins
20. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
